SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,CMR,,,,,,Cameroon,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44446665,0.439846908,0.435227166,0.430607424,0.425987682,0.42136794,0.4225067216666667,0.4236455033333333,0.424784285,0.4259230666666667,0.4270618483333334,0.42820063,0.43365893,0.43911723,0.44457553,0.45003383,0.45549213,0.46095043,0.46640873,0.4600304457142857,0.4536521614285714,0.4472738771428571,0.4408955928571428,0.4345173085714285,0.4281390242857143,0.42176074,,
,CAN,,,,,,Canada,,Gini coefficient,,,,,,,,,,0.3724673,0.36074276,0.34901822,0.34494515,0.34087208,0.339082555,0.33729303,0.335992215,0.3346914,0.33216111,0.32963082,0.329306,0.33224514,0.33518428,0.33174872,0.3167582,0.31653875,0.31197873,0.3101252,0.31365362,0.31943396,0.3156432,0.31675926,0.3130381,0.3150958,0.32768053,0.33116943,0.33217245,0.33060935,0.33418295,0.33554783,0.3356031,0.33809465,0.33776483,0.33621806,0.3409054,0.33841008,0.33930567,0.33952153,0.33592603,0.32657078,0.33539012,0.3379898,0.33157605,0.33746484,0.32701823,0.33308205,0.3250927,0.31749648,,,,
,CPV,,,,,,Cape Verde,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5249597,0.5161120633333334,0.5072644266666667,0.49841679,0.4895691533333333,0.4807215166666667,0.47187388,0.46586600375,0.4598581275,0.45385025125,0.447842375,0.44183449875,0.4358266225,0.42981874625,0.42381087,,,,,,,,
,CAF,,,,,,Central African Republic,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5927244,0.5907903212500001,0.5888562425,0.5869221637500001,0.584988085,0.58305400625,0.5811199275,0.57918584875,0.5772517699999999,0.57531769125,0.5733836125,0.57144953375,0.569515455,0.5675813762499999,0.5656472975,0.5637132187499999,0.56177914,0.5516637392307692,0.5415483384615384,0.5314329376923077,0.5213175369230769,0.5112021361538461,0.5010867353846153,0.4909713346153845,0.4808559338461538,0.4707405330769231,0.4606251323076923,0.4505097315384615,0.4403943307692307,0.43027893,,
,TCD,,,,,,Chad,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39809614,0.4024838175,0.4068714949999999,0.4112591725,0.41564685,0.4200345275,0.424422205,0.4288098824999999,0.43319756,0.4248824142857142,0.4165672685714285,0.4082521228571428,0.3999369771428571,0.3916218314285714,0.3833066857142857,0.37499154,0.374637405,0.37428327,0.373929135,0.373575,
,CHL,,,,,,Chile,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,0.56193036,0.56540484,0.56887932,0.5723538,0.5602091650000001,0.54806453,0.5561370649999999,0.5642096,0.556448975,0.54868835,0.5519274750000001,0.5551666,0.5413752000000001,0.5275838,0.5233065833333334,0.5190293666666667,0.51475215,0.50219082,0.48962949,0.47706816,0.47606076,0.47505336,0.47404596,0.47136365,0.46868134,0.46846025,0.46823916,0.460836205,0.45343325,0.453066375,0.4526995,0.4584822,0.4642649,0.4700476,0.4502375,0.4304274,
,CHN,,,,,,China,,Gini coefficient,,,,,,,,,,,,,,,,,,,,0.28164098,0.2781016533333333,0.2745623266666667,0.271023,0.27863519,0.28624738,0.29385957,0.3033284466666667,0.3127973233333333,0.3222662,0.3277701333333333,0.3332740666666667,0.338778,0.3432775333333333,0.3477770666666667,0.3522766,0.3638617833333333,0.3754469666666666,0.38703215,0.3979738433333333,0.4089155366666667,0.41985723,0.41624071,0.41262419,0.40900767,0.41588858,0.4227694899999999,0.4296504,0.43354997,0.43744954,0.42409223,0.42237166,0.397364,0.39177653,0.38595304,0.38480517,0.39075777,0.38497642,0.38168344,0.37090832,0.35743752,,
,,,,,,,China (rural),,Gini coefficient,,,,,,,,,,,,,,,,,,,,0.24729232,0.2538153133333333,0.2603383066666667,0.2668613,0.2760777433333333,0.2852941866666666,0.29451063,0.2979264633333333,0.3013422966666667,0.30475813,0.2966518533333333,0.2885455766666667,0.2804393,0.29902766,0.31761602,0.33620438,0.3421009766666666,0.3479975733333333,0.35389417,0.3626606033333333,0.3714270366666666,0.38019347,0.3729596533333333,0.3657258366666667,0.35849202,0.3703248333333333,0.3821576466666667,0.39399046,0.40003438,0.4060783,0.38497442,0.39497343,0.33971012,0.3375639,0.33242807,0.33179837,0.34255984,0.33541563,0.3267486,0.31574252,0.30404037,,
,,,,,,,China (urban),,Gini coefficient,,,,,,,,,,,,,,,,,,,,0.18508829,0.1825390133333333,0.1799897366666666,0.17744046,0.1853929266666666,0.1933453933333333,0.20129786,0.21951404,0.23773022,0.2559464,0.2655188,0.2750912,0.2846636,0.2867398233333333,0.2888160466666666,0.29089227,0.2990867266666667,0.3072811833333333,0.31547564,0.32163626,0.32779688,0.3339575,0.3384246333333333,0.3428917666666667,0.3473589,0.3487536133333333,0.3501483266666667,0.35154304,0.35449412,0.3574452,0.35559225,0.3535335,0.3668623,0.36429673,0.36156222,0.36124825,0.3694193,0.36906132,0.37052557,0.36667654,0.35652608,,
,COL,,,,,,Colombia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51352334,0.52709363,0.5406639200000001,0.5542342100000001,0.5678045,0.5736596333333334,0.5795147666666667,0.5853699,0.5839443,0.57328486,0.56007546,0.5357371,0.5497496,0.53908044,0.54374406,0.5484076800000001,0.5530713,0.54283005,0.5461688,0.5348354,0.52637744,0.52625173,0.52543414,0.50983036,0.505629,0.4970708,0.50410813,0.5132595,0.53488696,0.5511767,0.5481926,
