SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ROM.1.0.99.0.UWCD,ROM,1.0,0.0,99.0,0.0,UWCD,Romania,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7398,7.358,4.0473,9.1239,9.2605,10.3212,10.5212,9.7047,14.1085,11.6347,15.9994,18.7202,19.2428,19.6205,22.4739,31.2064,37.5771,43.3002,53.1481,42.8368,42.9657,43.5488,43.2597,45.6887,49.0567,51.4099,59.8906,69.5377,78.3349,86.5517,86.9567,91.3023,105.171,122.2606,140.0615,154.9206,170.1028
SVN.1.0.99.0.UWCD,SVN,1.0,0.0,99.0,0.0,UWCD,Slovenia,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94566,6.1871,6.48588,7.01198,8.77176,8.84957,9.22264,9.76387,10.27749,10.91108,11.66892,12.35929,12.91171,13.67982,14.45094,15.4776,17.00481,18.72646,18.58058,18.81571,18.70908,18.27554,17.86172,18.19752,18.71256,19.74067,21.01133,22.58436,24.39165,25.11432,27.42483,29.53447,32.71387,35.0523,37.22044,39.11387
SVK.1.0.99.0.UWCD,SVK,1.0,0.0,99.0,0.0,UWCD,Slovakia,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71411,5.1699,6.10813,7.00859,8.19724,8.58429,7.92274,9.09122,9.46516,10.4003,11.56002,12.57171,14.28923,16.30455,19.88269,23.3769,24.06988,25.00679,26.17145,26.97168,27.54448,28.68766,30.44304,32.00426,34.55409,37.44904,40.29554,41.0527,43.45733,46.76498,51.42653,54.92353,58.16402,61.30488
FIN.1.0.99.0.UWCD,FIN,1.0,0.0,99.0,0.0,UWCD,Finland,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,2.1831,2.4067,2.6893,2.9972,3.5104,3.9281,4.323,4.4109,4.188,4.6875,5.3088,5.9706,6.5884,7.9368,10.4009,13.0072,15.8552,16.0733,14.858,16.7254,20.1472,25.1495,28.3592,29.8959,34.8739,39.1088,39.5474,42.34,47.9653,56.2252,59.7617,58.1321,47.3648,38.8654,42.7949,49.3246,50.3505,52.5928,55.7581,59.464,63.299,66.893,69.012,70.68,73.624,77.395,81.338,85.895,91.57,90.508,92.596,97.076,100.257,101.098,101.375,102.572,104.283,105.061,109.146,112.627,110.869,118.106,126.139,132.399,132.4862,136.9848,141.4229
SWE.1.0.99.0.UWCD,SWE,1.0,0.0,99.0,0.0,UWCD,Sweden,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,6.4058,7.0136,7.8384,8.6719,9.6391,10.6778,11.8739,12.9133,14.402,15.7964,17.6833,19.0425,20.9526,22.3865,26.5784,32.4409,40.6564,43.461,43.0874,46.3696,52.029,58.8519,57.736,56.1244,64.5403,70.9277,71.7998,74.302,81.4565,93.1121,100.1266,105.6156,105.0757,83.9452,87.7958,89.6477,104.1586,107.0972,104.1815,111.8572,128.5071,125.4396,131.0806,136.1302,140.5854,142.9416,150.4949,162.5463,164.3901,148.7555,170.8684,191.1553,206.5062,214.0667,211.4915,214.7317,222.4253,229.195,227.7312,228.7053,233.3724,256.3983,259.3683,256.3372,268.5591,278.7165,289.5864
GBR.1.0.99.0.UWCD,GBR,1.0,0.0,99.0,0.0,UWCD,United Kingdom,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,40.048,42.857,45.102,47.435,51.426,55.546,59.545,61.141,59.156,63.685,71.476,77.917,84.029,87.05,102.532,122.076,125.164,131.938,148.234,178.523,229.229,269.3,281.955,288.33,306.261,331.709,313.606,322.488,381.217,419.942,437.307,474.451,466.371,454.768,473.424,463.342,494.367,629.585,676.716,751.197,872.132,909.86,921.764,882.737,961.975,1010.351,1072.568,1140.007,999.336,883.402,940.411,949.673,1035.638,1027.868,1110.079,1273.734,1173.441,1139.961,1177.742,1238.979,1228.462,1343.352,1458.553,1545.006,1661.381,1746.883,1792.301
MNE.1.0.99.0.UWCD,MNE,1.0,0.0,99.0,0.0,UWCD,Montenegro,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82991,0.94288,1.17015,1.22988,1.31066,1.37016,1.3561,1.17551,1.32579,1.39457,1.54697,1.70086,1.86389,1.97127,1.87926,2.01079,2.37712,2.90053,,,
MKD.1.0.99.0.UWCD,MKD,1.0,0.0,99.0,0.0,UWCD,North Macedonia,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62625,1.608217,1.727698,1.761017,1.709255,1.714224,1.795126,1.754188,1.727295,1.925589,1.938295,2.27771,2.430472,2.542859,2.632922,2.652328,2.596525,2.861143,3.005552,3.277845,3.513829,3.724455,3.987106,4.214402,4.505168,5.020634,,,,
SRB.1.0.99.0.UWCD,SRB,1.0,0.0,99.0,0.0,UWCD,Serbia,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28969,4.79812,4.95976,2.11681,4.38508,6.3349,7.16658,7.89729,8.44042,9.9349,12.45078,14.37163,13.06359,12.2973,13.46325,13.35235,13.80994,13.4622,13.33649,13.79055,14.93037,16.8019,18.7575,20.76073,23.47942,26.93013,31.43014,36.1928,39.62088,42.73915
TUR.1.0.99.0.UWCD,TUR,1.0,0.0,99.0,0.0,UWCD,Turkey,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,4.908,5.1186,5.9287,6.8528,7.2829,7.7246,9.2485,10.2008,11.162,12.742,12.5049,9.1429,9.0283,8.2223,8.5602,16.0038,15.9806,20.9563,18.575,27.1986,18.7076,21.3723,20.0436,23.0471,24.8072,21.6437,19.6505,19.8816,23.887,30.8097,46.0173,55.8398,55.5674,68.0853,39.8399,41.1892,49.0785,62.0448,64.8726,66.6057,79.745,55.7732,62.8003,70.0455,81.5853,100.8135,108.8385,126.9636,134.8453,124.3558,157.3873,158.9047,189.57,199.8621,203.1855,225.9918,251.3136,229.8229,197.8078,212.425,183.5728,187.6093,203.781,297.4149,465.0431,744.5599,894.6718
ISL.1.0.99.0.UWCD,ISL,1.0,0.0,99.0,0.0,UWCD,Iceland,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,0.11872,0.12421,0.13512,0.16346,0.21794,0.25718,0.30513,0.29843,0.22727,0.20062,0.25188,0.32024,0.36439,0.45915,0.63677,0.53763,0.68262,0.90316,0.9437,1.02741,1.18121,1.51742,1.59047,1.36672,1.5694,1.80893,1.87461,2.5082,2.73072,2.48465,2.38978,2.78903,2.76228,2.59053,2.56768,2.67581,2.89739,3.23363,3.77964,4.38429,5.16423,4.7475,5.15822,5.43518,5.91525,7.40494,7.72882,8.83757,5.59555,4.26078,4.78696,5.25463,5.62078,6.02375,6.72599,7.91005,9.69661,11.82537,12.29208,11.79743,10.14415,11.56835,14.2737,15.26877,15.71992,16.13621,16.54964
NOR.1.0.99.0.UWCD,NOR,1.0,0.0,99.0,0.0,UWCD,Norway,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,2.2539,2.4358,2.7267,2.9491,3.2012,3.5273,3.892,4.3981,4.9266,5.3779,5.9815,6.8882,7.7435,9.0857,11.3495,13.6498,16.9291,19.2753,19.3014,19.3902,22.0165,26.8143,30.2898,31.9109,35.2697,38.5479,38.9124,41.0318,43.9242,45.0731,44.7406,46.4339,48.0921,47.7354,49.7763,53.3755,57.8316,64.111,66.7938,72.6997,78.7326,84.2524,94.6494,91.2565,91.5649,101.7043,110.5954,123.0686,131.7537,127.796,143.7329,157.0511,174.8696,177.1565,172.6327,166.0233,162.5686,167.2284,170.7562,175.9448,162.0352,181.4699,197.6664,188.6304,195.9494,203.1821,212.8959
